name,fn_met_active_neigh,genes,max,min,weight
11621,0.683377309,UGT1A4,0.7,0.6,0.566835871
5532,0.682885906,UGT1A8,0.7,0.6,0.566835871
16679,0.682624113,GNPDA1,0.7,0.6,0.566835871
3539,0.682373473,AMT,0.7,0.6,0.566835871
428,0.682326622,SLC10A1,0.7,0.6,0.566835871
19189,0.682242991,ENSG00000260300,0.7,0.6,0.566835871
8951,0.681877445,GPT2,0.7,0.6,0.566835871
18871,0.681818182,ENSG00000256514,0.7,0.6,0.566835871
12971,0.68172043,IDI1,0.7,0.6,0.566835871
16387,0.681697613,UGT1A3,0.7,0.6,0.566835871
3416,0.681242808,PGD,0.7,0.6,0.566835871
715,0.681063123,CYP3A5,0.7,0.6,0.566835871
7950,0.680911681,COQ6,0.7,0.6,0.566835871
5301,0.680491551,LDHAL6B,0.7,0.6,0.566835871
1170,0.680345572,ACOT2,0.7,0.6,0.566835871
11560,0.68,ST6GALNAC6,0.7,0.6,0.566835871
10141,0.679785331,MTR,0.7,0.6,0.566835871
12077,0.679487179,AGMAT,0.7,0.6,0.566835871
11983,0.679218968,ALDH4A1,0.7,0.6,0.566835871
6018,0.678873239,SLC5A6,0.7,0.6,0.566835871
6679,0.678707224,CYP8B1,0.7,0.6,0.566835871
6414,0.678321678,CRAT,0.7,0.6,0.566835871
10847,0.678137652,GSTM4,0.7,0.6,0.566835871
2286,0.677966102,SLC16A7,0.7,0.6,0.566835871
1254,0.677642981,GSTM2,0.7,0.6,0.566835871
3838,0.676662321,TKTL2,0.7,0.6,0.566835871
988,0.676656151,AGXT2,0.7,0.6,0.566835871
10106,0.675675676,R3HDM4,0.7,0.6,0.566835871
14875,0.675453048,UAP1L1,0.7,0.6,0.566835871
12741,0.674311927,ARSK,0.7,0.6,0.566835871
11843,0.674185464,HMGCL,0.7,0.6,0.566835871
17555,0.674074074,HSD3B2,0.7,0.6,0.566835871
7188,0.673649394,HADHB,0.7,0.6,0.566835871
1473,0.673202614,SGPP1,0.7,0.6,0.566835871
11087,0.672828096,GSTA4,0.7,0.6,0.566835871
6397,0.672727273,ALDH5A1,0.7,0.6,0.566835871
5159,0.672690763,MVD,0.7,0.6,0.566835871
3106,0.672625698,ACAT1,0.7,0.6,0.566835871
4104,0.67254902,AKR1B1,0.7,0.6,0.566835871
18555,0.672325976,RPEL1,0.7,0.6,0.566835871
15623,0.672284644,ACSF2,0.7,0.6,0.566835871
2245,0.672268908,EPT1,0.7,0.6,0.566835871
9712,0.672035139,AKR1B10,0.7,0.6,0.566835871
18414,0.671875,ENSG00000269035,0.7,0.6,0.566835871
12528,0.671775223,NADK,0.7,0.6,0.566835871
14984,0.671232877,PLCD4,0.7,0.6,0.566835871
7919,0.670575693,ACAA1,0.7,0.6,0.566835871
13143,0.670103093,FAHD1,0.7,0.6,0.566835871
3626,0.669270833,CYP39A1,0.7,0.6,0.566835871
11138,0.668803419,CYP2J2,0.7,0.6,0.566835871
15127,0.668769716,AMDHD2,0.7,0.6,0.566835871
13446,0.668627451,BDH1,0.7,0.6,0.566835871
15026,0.668493151,AKR1B15,0.7,0.6,0.566835871
3114,0.668016194,SQLE,0.7,0.6,0.566835871
17892,0.667774086,ENSG00000260170,0.7,0.6,0.566835871
7507,0.667721519,AFMID,0.7,0.6,0.566835871
10908,0.667697063,DBT,0.7,0.6,0.566835871
5561,0.667664671,UGT2B4,0.7,0.6,0.566835871
7410,0.667475728,SLC5A2,0.7,0.6,0.566835871
11316,0.667215815,AKR1A1,0.7,0.6,0.566835871
1339,0.666666667,MCEE,0.7,0.6,0.566835871
7161,0.666666667,TMEM78,0.7,0.6,0.566835871
17569,0.666666667,C3orf33,0.7,0.6,0.566835871
16494,0.666251557,POR,0.7,0.6,0.566835871
11206,0.665893271,ENTPD8,0.7,0.6,0.566835871
16863,0.66552901,RGS21,0.7,0.6,0.566835871
10936,0.665178571,NSDHL,0.7,0.6,0.566835871
4137,0.66509434,ADK,0.7,0.6,0.566835871
16350,0.664323374,ALG2,0.7,0.6,0.566835871
6993,0.663885578,HMGCS1,0.7,0.6,0.566835871
18147,0.663716814,COASY,0.7,0.6,0.566835871
11081,0.663608563,CTH,0.7,0.6,0.566835871
18886,0.663390663,SLC46A1,0.7,0.6,0.566835871
4454,0.663355408,ACOX1,0.7,0.6,0.566835871
5882,0.663072776,GPD2,0.7,0.6,0.566835871
681,0.662952646,CYP3A43,0.7,0.6,0.566835871
1274,0.662946429,AKR1D1,0.7,0.6,0.566835871
13938,0.662587413,NDUFAF6,0.7,0.6,0.566835871
9306,0.66254417,ACOX3,0.7,0.6,0.566835871
9103,0.661846496,ALDH9A1,0.7,0.6,0.566835871
17712,0.661691542,ENSG00000257767,0.7,0.6,0.566835871
16742,0.661654135,ENSG00000270386,0.7,0.6,0.566835871
7385,0.661637931,GLUD2,0.7,0.6,0.566835871
5688,0.661458333,ADH1B,0.7,0.6,0.566835871
15512,0.661437908,CRYZ,0.7,0.6,0.566835871
2709,0.661375661,ILVBL,0.7,0.6,0.566835871
18537,0.661354582,MT1HL1,0.7,0.6,0.566835871
16226,0.661290323,SLC35A2,0.7,0.6,0.566835871
1281,0.661144578,ACADS,0.7,0.6,0.566835871
14701,0.661042945,SDSL,0.7,0.6,0.566835871
11203,0.66025641,CPT2,0.7,0.6,0.566835871
18875,0.66025641,CYP3A7,0.7,0.6,0.566835871
11747,0.66,ASAH2B,0.7,0.6,0.566835871
1692,0.659963437,SLC27A1,0.7,0.6,0.566835871
2814,0.659963437,SC5D,0.7,0.6,0.566835871
